value,severity,sources,count
185.220.101.45,HIGH,sample_feed.json|sample_ips.txt|sample_mixed.csv,3
45.142.212.100,HIGH,sample_feed.json|sample_ips.txt|sample_mixed.csv,3
91.108.4.200,HIGH,sample_feed.json|sample_ips.txt|sample_mixed.csv,3
194.165.16.100,HIGH,sample_feed.json|sample_ips.txt|sample_mixed.csv,3
5.188.86.172,MEDIUM,sample_ips.txt|sample_mixed.csv,2
80.82.77.139,MEDIUM,sample_ips.txt|sample_mixed.csv,2
198.96.155.3,MEDIUM,sample_feed.json|sample_ips.txt,2
103.208.86.8,MEDIUM,sample_ips.txt|sample_mixed.csv,2
193.32.162.157,MEDIUM,sample_ips.txt|sample_mixed.csv,2
162.247.72.199,MEDIUM,sample_feed.json|sample_ips.txt,2
5.2.69.50,MEDIUM,sample_feed.json|sample_ips.txt,2
185.220.101.46,LOW,sample_ips.txt,1
195.78.54.32,LOW,sample_ips.txt,1
185.56.80.65,LOW,sample_ips.txt,1
23.129.64.130,LOW,sample_ips.txt,1
51.75.62.55,LOW,sample_ips.txt,1
194.48.251.3,LOW,sample_ips.txt,1
45.148.10.240,LOW,sample_ips.txt,1
80.82.77.142,LOW,sample_ips.txt,1
185.220.100.255,LOW,sample_ips.txt,1
45.142.122.100,LOW,sample_ips.txt,1
91.108.56.100,LOW,sample_ips.txt,1
185.100.87.72,LOW,sample_ips.txt,1
193.169.252.120,LOW,sample_ips.txt,1
